SYMBOL,NAME OF COMPANY, PAID UP VALUE, MARKET LOT, FACE VALUE
FOSECOIND,Foseco India Limited,10,1,10
FRETAIL,Future Retail Limited,2,1,2
FSC,Future Supply Chain Solutions Limited,10,1,10
FSL,Firstsource Solutions Limited,10,1,10
GABRIEL,Gabriel India Limited,1,1,1
GAEL,Gujarat Ambuja Exports Limited,2,1,2
GAIL,GAIL (India) Limited,10,1,10
GAL,Gyscoal Alloys Limited,1,1,1
GALAXYSURF,Galaxy Surfactants Limited,10,1,10
GALLANTT,Gallantt Metal Limited,10,1,10
GALLISPAT,Gallantt Ispat Limited,1,1,1
GAMMNINFRA,Gammon Infrastructure Projects Limited,2,1,2
GANDHITUBE,Gandhi Special Tubes Limited,5,1,5
GANECOS,Ganesha Ecosphere Limited,10,1,10
GANESHHOUC,Ganesh Housing Corporation Limited,10,1,10
GANGESSECU,Ganges Securities Limited,10,1,10
GANGOTRI,Gangotri Textiles Limited,5,1,5
GARDENSILK,Garden Silk Mills Limited,10,1,10
GARFIBRES,Garware Technical Fibres Limited,10,1,10
GATI,GATI Limited,2,1,2
GAYAHWS,Gayatri Highways Limited,2,1,2
GAYAPROJ,Gayatri Projects Limited,2,1,2
GDL,Gateway Distriparks Limited,10,1,10
GEECEE,GeeCee Ventures Limited,10,1,10
GEMINI,Gemini Communication Limited,1,1,1
GENESYS,Genesys International Corporation Limited,5,1,5
GENUSPAPER,Genus Paper & Boards Limited,1,1,1
GENUSPOWER,Genus Power Infrastructures Limited,1,1,1
GEOJITFSL,Geojit Financial Services Limited,1,1,1
GEPIL,GE Power India Limited,10,1,10
GESHIP,The Great Eastern Shipping Company Limited,10,1,10
GET&D,GE T&D India Limited,2,1,2
GHCL,GHCL Limited,10,1,10
GICHSGFIN,GIC Housing Finance Limited,10,1,10
GICRE,General Insurance Corporation of India,5,1,5
GILLANDERS,Gillanders Arbuthnot & Company Limited,10,1,10
GILLETTE,Gillette India Limited,10,1,10
GINNIFILA,Ginni Filaments Limited,10,1,10
GIPCL,Gujarat Industries Power Company Limited,10,1,10
GISOLUTION,GI Engineering Solutions Limited,10,1,10
GKWLIMITED,GKW Limited,10,1,10
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,10,1,10
GLENMARK,Glenmark Pharmaceuticals Limited,1,1,1
GLOBALVECT,Global Vectra Helicorp Limited,10,1,10
GLOBOFFS,Global Offshore Services Limited,10,1,10
GLOBUSSPR,Globus Spirits Limited,10,1,10
GMBREW,GM Breweries Limited,10,1,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,2,1,2
GMMPFAUDLR,GMM Pfaudler Limited,2,1,2
GMRINFRA,GMR Infrastructure Limited,1,1,1
GNA,GNA Axles Limited,10,1,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,10,1,10
GOACARBON,Goa Carbon Limited,10,1,10
GOCLCORP,GOCL Corporation Limited,2,1,2
GODFRYPHLP,Godfrey Phillips India Limited,2,1,2
GODREJAGRO,Godrej Agrovet Limited,10,1,10
GODREJCP,Godrej Consumer Products Limited,1,1,1
GODREJIND,Godrej Industries Limited,1,1,1
GODREJPROP,Godrej Properties Limited,5,1,5
GOENKA,Goenka Diamond and Jewels Limited,1,1,1
GOKEX,Gokaldas Exports Limited,5,1,5
GOKUL,Gokul Refoils and Solvent Limited,2,1,2
GOKULAGRO,Gokul Agro Resources Limited,2,1,2
GOLDENTOBC,Golden Tobacco Limited,10,1,10
GOLDIAM,Goldiam International Limited,10,1,10
GOLDTECH,Goldstone Technologies Limited,10,1,10
GOODLUCK,Goodluck India Limited,2,1,2
GPIL,Godawari Power And Ispat limited,10,1,10
GPPL,Gujarat Pipavav Port Limited,10,1,10
GPTINFRA,GPT Infraprojects Limited,10,1,10
GRANULES,Granules India Limited,1,1,1
GRAPHITE,Graphite India Limited,2,1,2
GRASIM,Grasim Industries Limited,2,1,2
GRAVITA,Gravita India Limited,2,1,2
GREAVESCOT,Greaves Cotton Limited,2,1,2
GREENLAM,Greenlam Industries Limited,5,1,5
GREENPLY,Greenply Industries Limited,1,1,1
GREENPOWER,Orient Green Power Company Limited,10,1,10
GRINDWELL,Grindwell Norton Limited,5,1,5
GROBTEA,The Grob Tea Company Limited,10,1,10
GRPLTD,GRP Limited,10,1,10
GRSE,Garden Reach Shipbuilders & Engineers Limited,10,1,10
GRUH,Gruh Finance Limited,2,1,2
GSCLCEMENT,Gujarat Sidhee Cement Limited,10,1,10
